|[2.0,114200.0,203...|114200.0|115179.39441113142|
|[7.0,151600.0,183...|151600.0|150549.80229679125|
|[9.0,119200.0,211...|119200.0|120274.64569070909|
|[14.0,126300.0,21...|126300.0|125964.05826210043|
|[17.0,147100.0,21...|147100.0| 146829.4583386473|
|[26.0,149300.0,22...|149300.0| 149538.0754904122|
|[27.0,137000.0,20...|137000.0|137190.46651111083|
|[28.0,99300.0,170...| 99300.0| 99796.75263319204|
|[29.0,69100.0,160...| 69100.0| 69594.68572408095|
|[34.0,139600.0,22...|139600.0|139449.79046917093|
|[39.0,131300.0,17...|131300.0|131493.56908467476|
|[47.0,129800.0,19...|129800.0|129885.42164630677|
|[49.0,115900.0,19...|115900.0|116872.04446070427|
|[51.0,151100.0,21...|151100.0|151208.95399486047|
|[52.0,91100.0,186...| 91100.0| 91780.83212539526|
|[60.0,155400.0,20...|155400.0|156015.86210092332|
|[68.0,151900.0,20...|151900.0|150918.05810478263|
|[81.0,143400.0,21...|143400.0|142668.62882991132|
|[95.0,160600.0,21...|160600.0|159564.22313750617|
|[100.0,171000.0,2...|171000.0|169968.59246129706|
